# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 05:21:42 BST
# Ring energy:   3.0
# Ring current - start: 301.1
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264095_FeBr3_10.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264095_FeBr3_10.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: FeBr3
# Sample description: FeBr3
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	     It	   Iref	 lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6930.84	0.080173	857625.0	86255.0	20151.0	2.29686	 1.45405	   21.20	   12.07	   17.12	   11.08	   34.70	   22.31	   38.83	   25.33	   27.35	209.99	0.000244849
      6931.14	0.071787	768451.0	77343.0	18054.0	2.29613	 1.45488	   17.16	   10.06	   16.12	   12.09	   30.60	   26.36	   36.82	   16.20	   17.22	182.63	0.000237661
      6931.43	0.070536	754490.0	76001.0	17770.0	2.29530	 1.45323	   17.16	    2.01	   10.07	    8.06	   29.56	   17.23	   45.99	   19.23	   20.26	169.57	0.000224750
      6931.73	0.074487	796521.0	80255.0	18781.0	2.29504	 1.45236	   17.16	    3.02	   12.08	   16.11	   33.65	   23.32	   37.81	   21.27	   33.43	197.84	0.000248385
      6932.03	0.073042	781342.0	78780.0	18429.0	2.29435	 1.45273	   22.21	    3.02	    6.04	    9.06	   29.57	   31.45	   42.95	   17.21	   24.33	185.85	0.000237860
      6932.34	0.071763	767821.0	77529.0	18113.0	2.29290	 1.45402	   19.19	   13.08	    8.06	    9.06	   22.42	   26.37	   32.72	   17.21	   22.28	170.39	0.000221909
      6932.64	0.073028	781185.0	78859.0	18451.0	2.29315	 1.45254	   14.14	    5.03	   10.07	   15.10	   30.58	   28.40	   42.98	   15.19	   27.35	188.84	0.000241729
      6932.94	0.078215	837067.0	84566.0	19805.0	2.29237	 1.45160	   12.11	    6.03	   14.10	    3.02	   29.57	   26.37	   40.90	   18.22	   21.28	171.60	0.000204998
      6933.24	0.074559	798172.0	80741.0	18942.0	2.29108	 1.44986	   13.12	    5.03	   13.09	   11.08	   20.39	   21.30	   36.79	   14.18	   18.24	153.21	0.000191957
      6933.54	0.068836	736224.0	74469.0	17449.0	2.29115	 1.45110	   14.13	    6.03	   17.12	   13.09	   36.73	   23.32	   32.75	   22.28	   20.26	185.72	0.000252262
      6933.84	0.067903	725462.0	73452.0	17171.0	2.29018	 1.45341	   17.16	    6.03	   10.07	    6.04	   26.53	   26.35	   29.66	   18.23	   27.34	167.42	0.000230773
      6934.14	0.076494	818554.0	82893.0	19470.0	2.28999	 1.44868	   27.27	    7.04	   11.07	    6.04	   24.48	   17.24	   36.79	   25.33	   21.27	176.53	0.000215664
      6934.44	0.074131	792904.0	80343.0	18828.0	2.28940	 1.45096	   17.17	    9.05	   12.08	   18.13	   25.49	   22.30	   38.83	   12.16	   25.32	180.53	0.000227687
      6934.74	0.077242	825831.0	83759.0	19642.0	2.28845	 1.45027	   21.20	    7.04	   17.11	   12.09	   30.59	   30.42	   35.78	   27.35	   32.41	214.00	0.000259136
      6935.04	0.079662	852039.0	86455.0	20340.0	2.28801	 1.44703	   19.19	    9.05	   16.11	   17.12	   30.59	   26.37	   36.77	   13.16	   24.31	192.67	0.000226132
      6935.34	0.072058	771009.0	78328.0	18358.0	2.28679	 1.45084	   10.10	    3.02	    5.03	   13.09	   31.61	   27.39	   38.85	   14.17	   21.28	164.54	0.000213408
      6935.64	0.070810	757630.0	77024.0	18088.0	2.28608	 1.44887	   17.16	   13.08	    9.06	    8.06	   27.54	   24.34	   25.55	   19.24	   27.37	171.40	0.000226227
      6935.94	0.072830	779255.0	79198.0	18644.0	2.28639	 1.44643	   23.22	   10.06	   10.07	   12.08	   30.58	   26.36	   28.60	   20.25	   25.32	186.53	0.000239376
