# Diamond Light Source
# Instrument: B18-CORE XAS Date: Sat, 30 Jul 2016 01:09:14 BST
# Ring energy:   3.0
# Ring current - start: 298.5
# Primary slits:  vertical gap=  2.4; horizontal gap= 52.0; vertical offset=  0.4; horizontal offset= -1.0
# Secondary slits:  vertical gap=  5.0; horizontal gap= 23.0; vertical offset=  5.3; horizontal offset= -14.5
# OH Mirror Coating: Pt
# White beam filter: 140um PyC
# Crystal cut: Si(111)
# PostDCM slits:  vertical gap= 18.0; horizontal gap= 28.0; vertical offset= -9.1; horizontal offset= -16.5
# Experimental slits:  vertical gap= 30.0; horizontal gap= 45.0; vertical offset=  5.0; horizontal offset= -17.5
# HR Mirror : in; Y: -39.2; Pitch:  8.3; Coating: Pt
# Mirror 2: Pitch:  2.2; Height: -6.3; Yaw: -1.5; Bend:  0.8;
# I0 Stanford sensitivity: 100 nA/V Offsets: 20 pA
# It Stanford sensitivity: 20 nA/V Offsets: 1 pA
# Iref Stanford sensitivity: 5 nA/V Offsets: 1 pA
#
# Ascii output file name: 'Fe//ascii/264049_Fe_I_2.dat'
# Nexus output file: '/dls/b18/data/2016/sp10306-9/Fe//nexus/264049_Fe_I_2.nxs'
# XML folder and files:
# /dls/b18/data/2016/sp10306-9/xml/Fe/
# QEXAFS_Parameters
# Sample_Parameters
# Detector_Parameters
# Output_Parameters
# The contents of these files are also stored in the nexus file.
#
# Sample name: Fe_I
# Sample description: Fedpbz2Br
# Additional comments: default additional comments
# command: qexafs_energy 6912.0 8062.0 3286 242.57 qexafs_counterTimer01 qexafs_xspress QexafsFFI0
#
#
# qexafs_energy	    time	      I0	       It	    Iref	  lnI0It	lnItIref	Element0	Element1	Element2	Element3	Element4	Element5	Element6	Element7	Element8	    FF	 QexafsFFI0
      6930.24	0.075925	830757.0	2706457.0	902363.0	-1.18106	 1.09838	   70.74	   35.51	   49.90	   44.82	   97.08	   49.48	   88.00	   55.50	   54.48	545.51	0.000656637
      6930.54	0.079558	870448.0	2836523.0	947723.0	-1.18133	 1.09627	   57.39	   25.37	   50.89	   40.77	   76.14	   60.80	  103.73	   44.16	   74.02	533.27	0.000612636
      6930.84	0.079769	873083.0	2843588.0	950118.0	-1.18079	 1.09624	   76.86	   42.65	   55.99	   45.86	   89.65	   56.69	   95.34	   58.60	  101.86	623.50	0.000714131
      6931.14	0.072347	791872.0	2579083.0	862288.0	-1.18079	 1.09560	   61.51	   33.48	   46.85	   38.74	   86.58	   50.50	   98.59	   53.48	   59.65	529.38	0.000668523
      6931.43	0.070583	772638.0	2516285.0	841358.0	-1.18073	 1.09552	   66.65	   19.27	   27.50	   28.54	   79.38	   57.73	   75.42	   37.02	   60.65	452.16	0.000585213
      6931.73	0.073126	800034.0	2606956.0	871912.0	-1.18128	 1.09525	   52.28	   30.46	   35.64	   30.57	   68.86	   54.68	   85.92	   42.14	   63.80	464.35	0.000580414
      6932.03	0.074780	818227.0	2665770.0	890846.0	-1.18111	 1.09608	   53.27	   26.38	   34.63	   34.65	   99.22	   57.76	   91.16	   54.51	   69.95	521.53	0.000637387
      6932.34	0.070808	774969.0	2524295.0	846018.0	-1.18089	 1.09318	   58.41	   23.34	   33.61	   44.85	   68.87	   52.64	   68.14	   42.15	   53.48	445.50	0.000574863
      6932.64	0.071807	785949.0	2559975.0	858409.0	-1.18086	 1.09267	   51.24	   28.42	   34.60	   28.54	   56.34	   62.91	   82.80	   30.85	   57.58	433.28	0.000551286
      6932.94	0.079879	873886.0	2847593.0	955549.0	-1.18128	 1.09194	   68.71	   38.58	   47.87	   35.67	   91.91	   67.04	   88.06	   58.59	   69.95	566.38	0.000648118
      6933.24	0.075170	822963.0	2680009.0	898253.0	-1.18066	 1.09312	   61.51	   23.34	   41.77	   39.76	   79.27	   72.16	   73.41	   43.19	   60.66	495.07	0.000601571
      6933.54	0.066932	732540.0	2385926.0	803260.0	-1.18082	 1.08866	   67.63	   27.39	   34.62	   41.77	   67.81	   64.94	   78.55	   42.14	   56.54	481.40	0.000657161
      6933.84	0.068069	744812.0	2426812.0	818016.0	-1.18120	 1.08745	   58.44	   28.40	   37.68	   41.79	   78.26	   60.84	   76.48	   27.75	   62.74	472.37	0.000634209
      6934.14	0.076169	833629.0	2715417.0	914847.0	-1.18091	 1.08794	   69.70	   27.40	   46.84	   35.64	   68.92	   40.20	   82.81	   39.06	   69.92	480.50	0.000576391
      6934.44	0.076859	841679.0	2740036.0	922943.0	-1.18033	 1.08816	   69.69	   31.46	   45.80	   25.48	   69.90	   58.75	   95.35	   40.07	   63.75	500.25	0.000594350
      6934.74	0.075968	830888.0	2708540.0	912436.0	-1.18167	 1.08805	   56.40	   31.46	   41.76	   34.64	   87.69	   57.78	   83.86	   48.31	   68.90	510.80	0.000614766
